Antonio da Silva                        Salvador                      
Pedro Campos                            Araraquara                    
Joaquim Antunes                         Rio de Janeiro                
Leandro Melo                            Bauru                         
Rolando Lero                            Bauru                         
Maria Mara                              Bauru                         
Ana Carolina                            Bauru                         
Mariazinha zinha                        Bauru                         
Ledo Engano                             Bauru                         
Pedro Costa                             Bauru                         
Belmiro miro                            Bauru                         
