Antonio da Silva                        Andradina                     
Pedro Campos                            Rio de Janeiro                
Joaquim Antunes                         Campinas                      
Leandro Melo                            Catanduva                     
Rolando Lero                            Araraquara                    
Maria Mara                              Rio de Janeiro                
Ana Carolina                            Salvador                      
Mariazinha zinha                        Bauru                         
Ledo Engano                             Catanduva                     
Pedro Costa                             Rio de Janeiro                
Belmiro miro                            Salvador                      
